gene_id	s001_Line1_0g_repeat	s002_Line1_0g_repeat	s003_Line1_0g_repeat	s004_Line1_1g_repeat	s005_Line1_1g_repeat	s006_Line1_1g_repeat	s007_Line1_ground_repeat	s008_Line1_ground_repeat	s009_Line1_ground_repeat
ENSG00000011132	251	464	626	435	653	642	417	322	643
ENSG00000011143	406	565	886	486	799	843	768	562	948
ENSG00000011198	285	427	514	443	665	385	467	348	625
ENSG00000011201	374	429	706	302	365	594	635	506	724
ENSG00000011243	1223	2306	3192	1925	3329	2979	2448	2101	3292
ENSG00000011258	164	290	541	324	469	262	444	406	376
ENSG00000011260	296	459	661	763	817	847	580	605	962
ENSG00000011275	950	1756	2473	1224	2081	1869	1547	2009	2388
ENSG00000011295	1366	2063	2933	2246	3279	2932	2659	2534	3596
ENSG00000011304	1377	2384	2769	1911	3403	2792	2632	1595	3169
ENSG00000011332	75	133	160	53	194	126	93	92	108
ENSG00000011347	51	14	53	18	49	27	240	250	332
ENSG00000011376	1087	1472	2119	966	2295	1389	2442	1786	2881
ENSG00000011405	871	1438	2146	1145	1597	1204	1682	1587	1899
ENSG00000011422	71	35	106	167	117	110	44	60	37
ENSG00000011426	1573	2381	3195	1346	2643	1925	2196	1500	2808
ENSG00000011451	215	402	370	236	402	297	407	322	510
ENSG00000011454	1537	2162	3556	2009	2913	2226	2798	2449	2927
ENSG00000011465	10	0	1	10	0	0	64	13	82
ENSG00000011478	48	65	141	94	163	161	94	54	202
ENSG00000011485	2068	2996	3961	2006	4379	3127	3573	2990	4860
ENSG00000011523	765	1196	1906	765	1665	1270	1795	1378	2068
ENSG00000011566	571	790	1055	593	853	921	814	1166	1327
ENSG00000011590	13	16	11	0	0	26	0	11	16
ENSG00000011600	4	18	8	4	12	6	6	19	54
ENSG00000011638	204	398	472	406	555	635	329	335	560
ENSG00000011677	0	0	0	1	0	0	0	0	0
ENSG00000012048	149	341	383	224	428	389	303	190	125
ENSG00000012061	1038	1585	1906	1186	2534	1956	1676	1442	2765
ENSG00000012124	0	0	2	0	0	0	25	12	29
ENSG00000012171	115	134	432	78	154	201	196	123	392
ENSG00000012174	1136	1643	2414	1151	1901	1783	2505	1559	2069
ENSG00000012211	68	105	256	175	190	244	214	183	207
ENSG00000012223	0	0	1	0	0	0	0	0	0
ENSG00000012232	3089	5464	6630	3166	6524	5679	8854	5874	9116
ENSG00000012504	0	0	0	2	0	0	0	0	0
ENSG00000012660	1481	2036	2923	1407	2392	1879	2373	2262	3066
ENSG00000012779	1	23	14	0	17	41	20	4	137
ENSG00000012817	0	0	0	0	0	0	0	0	0
ENSG00000012822	819	1370	2167	1337	2286	1792	2360	2221	3476
ENSG00000012963	1352	1398	2380	1489	2083	1918	2245	1636	2600
ENSG00000012983	627	869	1277	593	1054	747	1181	1051	1156
ENSG00000013016	1010	1223	1945	681	1780	1162	3049	3220	4739
ENSG00000013275	3160	4391	5492	3490	6957	5327	3649	2873	4492
ENSG00000013288	176	153	409	186	549	259	310	386	399
ENSG00000013293	0	0	2	1	0	0	0	0	0
ENSG00000013297	5	3	5	9	3	2	1	0	5
ENSG00000013306	4170	6538	8611	4396	9634	8279	8796	6590	12100
ENSG00000013364	204	349	579	267	394	556	331	407	702
ENSG00000013374	702	979	1444	893	1290	981	1013	925	1430
ENSG00000013375	1196	1807	2586	1438	2514	2258	2607	1974	2830
ENSG00000013392	389	685	980	567	1005	819	670	487	1052
ENSG00000013441	288	317	387	650	635	347	704	582	1085
ENSG00000013503	390	669	741	421	746	555	830	745	1036
ENSG00000013523	510	971	927	898	858	977	1314	817	1082
ENSG00000013561	3248	5043	7019	3324	7220	3985	4569	3406	5321
ENSG00000013563	122	273	284	209	360	237	261	205	394
ENSG00000013573	128	176	357	153	496	111	101	106	232
ENSG00000013583	401	648	793	344	1010	719	580	608	994
ENSG00000013588	17	26	30	2	62	46	69	19	54
ENSG00000013619	7	29	19	37	76	69	0	29	53
ENSG00000013725	0	20	0	0	0	1	0	6	21
ENSG00000013810	262	307	342	298	414	346	398	296	834
ENSG00000014123	632	1038	1411	776	1174	1164	1240	1129	1403
ENSG00000014138	412	453	850	412	1080	968	795	557	961
ENSG00000014164	490	813	902	691	1430	775	1314	669	1266
ENSG00000014216	2570	3911	4720	1968	6670	4077	4208	3261	6506
ENSG00000014257	54	128	51	2	65	35	322	158	341
ENSG00000014641	19313	30229	36454	14906	40452	26782	39555	36784	57945
ENSG00000014824	2236	3293	5183	2211	4277	3665	4645	3535	4938
ENSG00000014914	44	20	31	46	48	79	60	39	41
ENSG00000014919	916	1425	2125	1181	1842	1747	1653	1184	1866
ENSG00000015133	50	54	100	16	53	96	65	60	73
ENSG00000015153	307	456	647	356	574	502	509	602	628
ENSG00000015171	1366	1511	2497	1111	2338	1903	1968	1919	3024
ENSG00000015285	7	24	28	7	10	10	2	13	4
ENSG00000015413	1	19	15	5	55	58	146	51	191
ENSG00000015475	267	599	736	324	776	424	739	671	940
ENSG00000015479	32	70	82	82	75	15	34	19	24
ENSG00000015520	0	0	3	2	0	1	0	11	0
ENSG00000015532	787	1152	1590	492	1451	976	1224	835	1683
ENSG00000015568	0	4	1	0	0	1	0	1	0
ENSG00000015592	0	0	0	0	0	0	0	7	2
ENSG00000015676	1669	2382	4070	2422	3978	4018	3828	2855	4652
ENSG00000016082	463	785	941	846	1287	1553	1189	813	1314
ENSG00000016391	258	333	499	138	588	216	733	360	974
ENSG00000016402	0	0	2	1	0	0	0	1	0
ENSG00000016490	0	0	0	0	0	0	0	0	0
ENSG00000016602	0	0	1	0	0	1	0	0	1
ENSG00000016864	639	1034	1493	1067	1636	1565	1476	1100	1856
ENSG00000017260	835	1283	1534	1031	1673	1375	1672	1070	2034
ENSG00000017427	11	26	26	3	38	42	23	8	29
ENSG00000017483	30	88	69	30	129	102	48	51	92
ENSG00000017797	614	934	1164	1019	1167	1058	588	798	956
ENSG00000018189	404	582	859	620	999	640	737	618	910
ENSG00000018236	5	0	2	1	0	1	115	86	87
ENSG00000018280	28	30	43	13	82	37	19	19	28
ENSG00000018408	1586	2949	3232	1538	2951	2697	3054	2997	4193
ENSG00000018510	861	1372	1843	995	1273	1464	1802	1279	2150
ENSG00000018607	0	1	1	0	2	8	2	1	0
ENSG00000018610	240	391	343	253	329	359	291	284	443
ENSG00000018625	9	0	44	1	19	30	88	209	325
ENSG00000018699	242	399	667	494	761	842	444	515	682
ENSG00000018869	87	139	203	172	293	198	299	121	277
ENSG00000019102	0	0	0	0	2	0	4	9	11
